Timestamp,HW_Sys_HrCh_HrChGhwSTmp(°F)
05-May-22 10:30 AM EDT,85.8
05-May-22 10:45 AM EDT,85.6
05-May-22 11:00 AM EDT,85.3
05-May-22 11:15 AM EDT,85.0
05-May-22 11:30 AM EDT,84.8
05-May-22 11:45 AM EDT,84.6
05-May-22 12:00 PM EDT,84.3
05-May-22 12:15 PM EDT,84.1
05-May-22 12:30 PM EDT,83.9
05-May-22 12:45 PM EDT,83.7
05-May-22 1:00 PM EDT,83.6
05-May-22 1:15 PM EDT,83.4
05-May-22 1:30 PM EDT,83.2
05-May-22 1:45 PM EDT,83.1
05-May-22 2:00 PM EDT,82.9
05-May-22 2:15 PM EDT,82.8
05-May-22 2:30 PM EDT,82.7
05-May-22 2:45 PM EDT,82.5
05-May-22 3:00 PM EDT,82.4
05-May-22 3:15 PM EDT,82.3
05-May-22 3:30 PM EDT,82.2
05-May-22 3:45 PM EDT,82.0
05-May-22 4:00 PM EDT,81.9
05-May-22 4:15 PM EDT,81.8
05-May-22 4:30 PM EDT,81.7
05-May-22 4:45 PM EDT,81.6
05-May-22 5:00 PM EDT,81.5
05-May-22 5:15 PM EDT,81.4
05-May-22 5:30 PM EDT,81.3
05-May-22 5:45 PM EDT,81.2
05-May-22 6:00 PM EDT,81.1
05-May-22 6:15 PM EDT,81.1
05-May-22 6:30 PM EDT,81.0
05-May-22 6:45 PM EDT,80.9
05-May-22 7:00 PM EDT,80.8
05-May-22 7:15 PM EDT,80.7
05-May-22 7:30 PM EDT,80.7
05-May-22 7:45 PM EDT,80.6
05-May-22 8:00 PM EDT,80.5
05-May-22 8:15 PM EDT,80.5
05-May-22 8:30 PM EDT,80.4
05-May-22 8:45 PM EDT,80.3
05-May-22 9:00 PM EDT,80.3
05-May-22 9:15 PM EDT,80.2
05-May-22 9:30 PM EDT,80.2
05-May-22 9:45 PM EDT,80.1
05-May-22 10:00 PM EDT,80.0
05-May-22 10:15 PM EDT,80.0
05-May-22 10:30 PM EDT,79.9
05-May-22 10:45 PM EDT,79.9
05-May-22 11:00 PM EDT,79.8
05-May-22 11:15 PM EDT,79.8
05-May-22 11:30 PM EDT,79.7
05-May-22 11:45 PM EDT,79.7
06-May-22 12:00 AM EDT,79.6
06-May-22 12:15 AM EDT,79.6
06-May-22 12:30 AM EDT,79.5
06-May-22 12:45 AM EDT,79.5
06-May-22 1:00 AM EDT,79.4
06-May-22 1:15 AM EDT,79.3
06-May-22 1:30 AM EDT,79.3
06-May-22 1:45 AM EDT,79.3
06-May-22 2:00 AM EDT,79.2
06-May-22 2:15 AM EDT,79.1
06-May-22 2:30 AM EDT,79.1
06-May-22 2:45 AM EDT,79.1
06-May-22 3:00 AM EDT,79.0
06-May-22 3:15 AM EDT,78.9
06-May-22 3:30 AM EDT,78.9
06-May-22 3:45 AM EDT,78.8
06-May-22 4:00 AM EDT,78.8
06-May-22 4:15 AM EDT,78.7
06-May-22 4:30 AM EDT,78.7
06-May-22 4:45 AM EDT,78.6
06-May-22 5:00 AM EDT,78.6
06-May-22 5:15 AM EDT,78.6
06-May-22 5:30 AM EDT,78.5
06-May-22 5:45 AM EDT,78.5
06-May-22 6:00 AM EDT,78.4
06-May-22 6:15 AM EDT,78.4
06-May-22 6:30 AM EDT,78.3
06-May-22 6:45 AM EDT,78.3
06-May-22 7:00 AM EDT,78.3
06-May-22 7:15 AM EDT,78.2
06-May-22 7:30 AM EDT,78.2
06-May-22 7:45 AM EDT,78.1
06-May-22 8:00 AM EDT,78.1
06-May-22 8:15 AM EDT,78.1
06-May-22 8:30 AM EDT,78.0
06-May-22 8:45 AM EDT,78.0
06-May-22 9:00 AM EDT,78.0
06-May-22 9:15 AM EDT,77.9
06-May-22 9:30 AM EDT,77.9
06-May-22 9:45 AM EDT,77.9
06-May-22 10:00 AM EDT,77.9
06-May-22 10:15 AM EDT,77.8
06-May-22 10:30 AM EDT,77.8
06-May-22 10:45 AM EDT,77.8
06-May-22 11:00 AM EDT,77.8
06-May-22 11:15 AM EDT,77.8
06-May-22 11:30 AM EDT,77.8
